WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_000160 18.6082 16.0173 13.5572 15.4899 21.4873 35.077 49.0122
XLOC_000161 0.4424 0.290029 0.146481 0.0441664 0.0535488 0 0.0107735
XLOC_000162 2.55852 3.98677 8.20541 13.0866 15.4238 17.8466 8.30066
XLOC_000163 0.186331 0.489335 1.37929 1.54439 1.45572 391.404 0.906986
XLOC_000164 2.22388 2.61828 1.513 1.57047 3.00836 4.20809 5.45346
XLOC_000165 3.15761 3.89326 6.99919 7.3971 7.71715 6.48693 8.42417
XLOC_000166 0.620228 1.02358 3.04276 5.80484 16.1468 73.8979 129.913
XLOC_000167 11.6812 13.2584 1.37678 0.204582 0.0409444 0.0242631 0
XLOC_000168 11.6977 12.5204 8.12805 4.9335 3.75961 2.87612 2.79066
XLOC_000169 33.6427 29.1283 24.4255 26.375 30.6863 29.5605 32.4336
XLOC_000170 1.23313 1.70045 2.48363 2.57793 3.07093 5.49597 5.98499
XLOC_000171 7.86215 5.67152 2.20908 2.59111 4.90599 8.42957 11.1332
XLOC_000172 3.51564 3.46489 3.01871 3.50605 3.42805 1.62765 0.871523
XLOC_000173 80.3156 61.1736 39.8737 36.5046 43.0585 41.4235 42.9028
XLOC_000174 0.0661665 0.418349 0.427318 0.0853756 0 0 0
XLOC_000175 4.21652 4.69347 9.13054 8.56785 8.17294 4.25675 4.54796
XLOC_000176 7.78741 7.06995 6.32253 6.3487 7.38914 8.31305 10.3139
XLOC_000177 11.598 10.408 11.8398 12.7738 15.0594 15.9821 15.9588
XLOC_000178 9.38348 10.381 12.7574 6.29452 1.44197 0.0767465 0.0209742
XLOC_000179 2.71265 2.58052 4.90674 4.44655 3.88077 3.01124 2.52218
XLOC_000180 0 0 0 0 0 0 0
XLOC_000181 0.1383 0.751149 8.57372 11.3719 7.31846 7.96294 7.43532
XLOC_000182 0 0 0 0 0 0 0
XLOC_000183 20.601 25.1258 8.3908 5.73888 5.79255 2.52387 2.11747
XLOC_000184 25.8731 36.5065 6.62687 2.3031 0.664193 0.080035 0
XLOC_000185 4.17125 4.47541 6.01479 5.8778 5.78584 1.77555 0.84597
XLOC_000186 6.50157 7.9202 10.9937 12.0523 11.5236 12.4787 11.0717
XLOC_000187 0.0599552 0 0 0 0 0 0.0519114
XLOC_000188 0.0548345 0.0289386 0.0124644 0 0.0235295 0 0
XLOC_000189 377.033 214.629 77.8763 65.1462 68.931 55.0503 43.2433
XLOC_000190 0 0 0 0 0 0 0
XLOC_000191 39.9001 31.6284 17.6035 16.0661 18.3937 24.1022 25.5075
XLOC_000192 57.257 34.4338 14.2105 7.35394 3.13042 0.114785 0.0308905
XLOC_000193 0.425104 0.242478 0.660854 0.827883 0.737098 0.146699 0.0361772
XLOC_000194 33.0667 30.7425 24.3878 27.5541 23.8622 10.4496 5.76993
XLOC_000195 1.38003 1.49991 3.48177 4.82872 6.21763 8.39568 9.05939
XLOC_000196 1.0445 10.0133 2400.56 5795.88 7591.19 16515.2 13876.5
XLOC_000197 4.39678 3.67443 2.70046 0.586295 0.139345 0.00847178 0.024876
XLOC_000198 12.0046 7.2662 3.57507 3.89203 5.56228 5.45011 3.93819
XLOC_000199 10.0155 7.60354 2.58572 1.61093 2.41231 3.84631 6.79467
XLOC_000200 0 0 0 0 0.0222489 0 0
XLOC_000201 116.763 130.612 133.4 74.7042 54.5505 40.2386 24.5267
XLOC_000202 0.558485 0.704002 1.2398 1.50684 1.4196 0.363039 0.197039
XLOC_000203 13.5931 17.6448 22.8586 21.6866 16.5254 9.29042 6.36029
XLOC_000204 0 0 0 0 0 0 0
XLOC_000205 14.8025 15.1991 8.36465 5.4205 2.87092 0.509425 0.119628
XLOC_000206 1.22914 6.8434 28.0082 75.4363 86.7117 96.2222 8.95999
XLOC_000207 7.78774 7.21116 6.596 6.74646 8.81135 10.8259 13.725
XLOC_000208 12.3401 10.5552 7.95658 8.54916 9.01143 13.8431 15.9894
XLOC_000209 6.62646 5.50736 3.88113 4.77643 3.72479 1.7073 2.91569
XLOC_000210 78.4959 71.9874 32.7446 26.7185 26.6892 31.8565 23.6052
XLOC_000211 5.78067 7.46485 13.1617 17.7726 19.3139 22.1673 21.753
XLOC_000212 0.943872 0.571862 3.10819 5.27267 2.57864 2.3877 0.823735
XLOC_000213 0.0131112 0 0 0 0 0 0
XLOC_000214 0 0 0 0 0 0 0
XLOC_000215 0.218029 0.313025 0.446317 0.413985 0.437213 0.282706 0.104653
XLOC_000216 0.00794963 0.0722081 0.506395 2.84894 1.95545 1.48513 0.649444
XLOC_000217 0 0 0 0 0 0 0
XLOC_000218 16.1718 15.7119 12.1654 12.82 10.8995 9.49695 9.01762
XLOC_000219 0.26055 0.21095 0.115987 0.153385 0.0801 0.0198107 0.0194889
XLOC_000220 16.9308 11.6235 4.8116 0.841199 0.478533 0.0357179 0.11983
XLOC_000221 3.59253 7.58216 13.4344 4.0129 0.715283 0.0413031 0
XLOC_000222 0 0 0 0 0 0 0
XLOC_000223 4.59965 1.34439 3.11903 1.30262 0.325007 0.0378955 0
XLOC_000224 1.02015 1.45503 3.66643 3.83452 2.86576 0.686151 0.363693
XLOC_000225 0 0 0.0585337 0 0.107292 6.13236 18.3696
XLOC_000226 4.582 4.00855 5.11508 4.47664 3.34563 2.86543 3.64696
XLOC_000227 2.81015 2.65798 3.1617 4.09419 5.55703 9.46046 17.4179
XLOC_000228 0.462593 0.648587 0.468855 0.787119 1.0037 2.10812 4.12118
XLOC_000229 0.994734 2.79511 15.5118 17.2316 10.0162 7.30799 2.539
XLOC_000230 0 0.0306258 0.782849 2.13885 0.81029 0.435453 0.0667515
XLOC_000231 13.2825 15.1631 19.0734 19.0831 20.3815 18.3907 18.2761
XLOC_000232 0.347119 1.77821 523.381 2499.99 4005.04 9066.34 7819.95
XLOC_000233 0.114937 0.0833362 0.0187979 0.0853391 0 0 0
XLOC_000234 1.58903 3.72885 7.16015 3.06918 1.73211 1.34094 5.77892
XLOC_000235 7.06343 5.42855 4.23243 3.71916 2.9455 3.29593 3.92576
XLOC_000236 9.13105 15.6564 38.6166 39.5269 29.9251 15.7184 3.38122
XLOC_000237 2.14023 2.12375 2.30569 1.81714 0.827473 0.233739 0.0659933
XLOC_000238 0.0341516 0.0259333 0.749882 2.50182 3.85865 4.30385 4.08965
XLOC_000239 0 0 0 0 0 0 0
XLOC_000240 21.5322 9.8716 8.14733 7.93095 8.08798 12.6336 9.85332
XLOC_000241 5.94694 3.91404 4.20952 4.20906 3.87295 6.71145 12.5437
XLOC_000242 0.0355083 0 0 0 0.147699 0 0.187328
XLOC_000243 1.47218 1.27155 0.772454 0.950735 1.22116 1.47731 1.74946
XLOC_000244 4.66325 6.65481 9.67151 10.7064 11.8232 13.7091 18.5118
XLOC_000245 8.56433 8.97217 11.1063 13.2076 19.5513 24.6486 28.9378
XLOC_000246 2.05113 2.7175 7.80481 13.8508 16.1545 13.794 9.24269
XLOC_000247 0 0 0 0 0 0 0
XLOC_000248 1.57981 1.44133 0.235902 0.060337 0.00951866 0 0
XLOC_000249 0.309194 0.338209 0.635875 1.19429 1.59911 1.84008 2.02337
XLOC_000250 0.567699 0.541496 0.450421 0.655028 0.324125 0.189485 0.13001
XLOC_000251 3.59373 4.29328 6.84068 7.30024 7.54919 4.78485 4.28239
XLOC_000252 62.9643 108.656 81.9493 33.5128 9.59252 1.32476 0.306575
XLOC_000253 9.80877 9.65249 10.5815 10.6141 9.58303 7.34476 7.84784
XLOC_000254 0 0 0 0 0 0 0
XLOC_000255 13.372 14.0093 17.6787 24.2539 29.9726 47.1272 87.7164
XLOC_000256 0.0731015 0.145008 0.201124 0.351298 0.692555 0.928724 1.29737
XLOC_000257 2.09057 2.87655 3.79792 3.19377 3.35592 4.28527 6.92578
XLOC_000258 13.287 13.4979 14.7526 11.9813 10.2165 6.02676 4.39628
XLOC_000259 0 0 0 0 0 0 0
XLOC_000260 0 0.00369054 0 0 0 0 0
XLOC_000261 0 0 0 0 0 0 0
XLOC_000262 0 0 0 0 0 0 0
XLOC_000263 28.6552 64.9403 61.763 81.2247 48.2444 22.3972 5.9096
XLOC_000264 33.0878 33.2259 43.4953 56.4843 63.4624 71.9061 72.743
XLOC_000265 0.0482314 0.0342189 0.0704884 0.112238 0.192239 0.184963 0.227481
XLOC_000266 0.0118146 0.0120553 0 0 0 0.0307738 0
XLOC_000267 10.7012 9.70638 11.2968 15.1505 18.9063 30.6691 26.3131
XLOC_000268 175.031 142.295 40.4496 7.56543 2.98611 0.339702 0.100744
XLOC_000269 0 0 0 0 0 0 0
XLOC_000270 0.0134234 0.00618327 0.0191315 0 0 0 0.0242739
XLOC_000271 0 0 0 0 0 0 0
XLOC_000272 0 0 0 0 0 0 0
XLOC_000273 0.693218 0.416011 0.269761 0.287147 0.519921 0.431599 0.627455
XLOC_000274 0.0128856 0 0 0 0 0 0
XLOC_000275 27.1344 36.1838 49.1052 46.5857 23.45 2.90714 0.25017
XLOC_000276 23.9927 25.4315 33.0268 37.1712 41.7426 52.5362 58.9541
XLOC_000277 21.4012 18.1336 10.5332 10.8958 10.9615 11.6562 15.253
XLOC_000278 0 0 0 0 0 0 0
