WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_001132 160.535 244.089 470.486 255.842 174.275 47.6328 8.58238
XLOC_001134 3.86591 3.15419 1.67799 1.10325 1.01149 7.61243 20.6591
XLOC_005276 6.01566 6.48686 15.6198 18.2685 14.1875 5.29831 0.423978
XLOC_005280 19.6983 24.2775 42.2647 32.6391 30.9905 29.7124 24.6257
XLOC_005286 122.627 56.6795 0.728486 0.141114 0.015728 0.278821 0
XLOC_005294 3.41867 4.82746 6.04867 5.0276 2.57266 0.73323 0.136985
XLOC_005298 0.907202 0.651866 8.52519 15.8032 24.4434 35.9453 34.0468
XLOC_001159 14.5027 18.3998 17.0019 42.1855 65.3564 58.105 36.3451
XLOC_001164 21.2435 24.3565 6.95558 2.09751 1.99484 3.47468 2.48639
XLOC_001168 0.312209 2.09388 5.54629 3.5425 2.48694 0.358005 0.0155327
XLOC_005308 0 0 0 0 0.0129942 3.09225 22.6096
XLOC_005311 5.60525 9.31253 14.1018 10.9428 5.99209 2.40322 3.22451
XLOC_001170 13.2169 21.2242 69.9748 90.5344 88.9191 74.467 19.4719
XLOC_005319 20.122 11.2154 8.72849 16.5105 13.4288 7.42701 6.20841
XLOC_005323 3.17719 3.41987 4.59233 5.12708 5.51615 5.77099 6.32798
XLOC_005324 26.175 17.6891 1.48631 0.502287 0.172847 0.0318197 0
XLOC_001183 0 0 0.0606986 0 0.0704312 0 0
XLOC_001186 9.35626 9.14982 20.1455 32.1071 27.4963 20.2677 8.98199
XLOC_001202 0.076359 0.00890481 0.357102 0.670594 0.301025 0 0
XLOC_001203 89.2387 111.218 105.784 60.9281 25.9449 3.4632 1.89227
XLOC_005346 0.0358663 0.0316452 0.0441028 0.403294 0.092054 0.0376012 0
XLOC_005361 11.0457 10.3644 8.94683 9.53056 9.11442 5.00882 2.87033
XLOC_005366 0.00863659 0.00432837 0.027048 0.00667603 0.014247 0.0149123 0.00960505
XLOC_001233 5.00093 3.9183 2.75654 4.91066 8.06459 6.53002 20.2214
XLOC_001237 66.9914 77.5504 86.1818 58.2069 27.3642 2.65626 0.0581593
XLOC_001242 3.04805 2.33108 1.85861 3.75862 4.38033 2.93274 2.96929
XLOC_001270 18.4356 26.0324 123.525 174.915 143.584 83.4233 14.717
XLOC_001276 11.7996 9.41025 1.23677 0.991824 0.840591 1.04168 5.0884
XLOC_001281 1.46836 1.47201 2.03663 1.81982 2.44731 6.40779 18.5159
XLOC_001308 0.273965 0.228213 0.136889 0.121878 0.054168 0.0120486 0.0860343
